Country,Deaths,Deaths /1M pop,New Deaths,Tests,EstimatedCases,ConfirmedCases,Confirmed CaseFatality Rate,Confirmed Cases /1M pop,Seasonal Flu Deaths1(CDC/WHO 2017)
Mayotte,4,14.8,,3000.0,,539,0.0074,1993.5,
Monaco,4,103.4,,,,95,0.0421,2455.9,
Malta,4,8.3,,36204.0,,477,0.0084,986.5,
Antigua and Barbuda,3,31.2,,151,,25,0.12,259.6,
Saint Martin,3,92.1,,,,38,0.0789,1167.2,
Angola,2,0.1,,481,,35,0.0571,1.1,5961.0
Benin,2,0.2,,,,90,0.0222,7.7,
Cabo Verde,2,3.7,,791,,165,0.0121,302.0,
British Virgin Islands,1,33.3,,,,6,0.16670000000000001,199.8,
Curaçao,1,6.3,,351,,16,0.0625,100.8,
Liechtenstein,1,26.4,,900,,82,0.012199999999999999,2163.0,
Turks and Caicos,1,28.2,,83,,12,0.0833,338.5,
Cayman Islands,1,15.2,,1927.0,,74,0.013500000000000002,1124.4,
Burundi,1,0.1,,284,,15,0.0667,1.4,
Mauritania,1,0.2,,1032.0,,8,0.125,2.0,1026.0
